text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
wophead,wop,racial / ethnic slurs,2.2,Strong,wophead
nobbyhead,knob,sexual anatomy / sexual acts,1.4,Mild,nobbyhead
n1g3rz,nigger,racial / ethnic slurs,3.0,Severe,n1g3rz
twa+,twat,sexual anatomy / sexual acts,1.2,Mild,twa+
ass-hole,ass,sexual anatomy / sexual acts,2.0,Strong,ass-hole
5h1t,shit,bodily fluids / excrement,1.0,Mild,5h1t
crazy sob,bitch,mental disability,1.4,Mild,crazysob
twat waffle,twat,sexual anatomy / sexual acts,2.0,Strong,twatwaffle
neggar,nigger,racial / ethnic slurs,2.8,Severe,neggar
m0thafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0thafucker
shut the fuck up,fuck,other / general insult,2.2,Strong,shutfuck
fuckless,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckless
nigg3r,nigger,racial / ethnic slurs,3.0,Severe,nigg3r
spig,spic,racial / ethnic slurs,2.6,Severe,spig
shit for brains,shit,bodily fluids / excrement,1.6,Strong,shitbrains
motherfuckeds,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckeds
dog-fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,dog-fucker
shiat,shit,bodily fluids / excrement,1.0,Mild,shiat
fuckster,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckster
dipshitter,shit,bodily fluids / excrement,1.6,Strong,dipshitter
clusterfucks,fuck,sexual anatomy / sexual acts,2.0,Strong,clusterfucks
cameltoe,cameltoe,sexual anatomy / sexual acts,1.2,Mild,cameltoe
fagging,faggot,sexual orientation / gender,3.0,Severe,fagging
n1ggahs,niggers,racial / ethnic slurs,3.0,Severe,n1ggahs
shitblimp,shit,bodily fluids / excrement,1.6,Strong,shitblimp
son-of-a-bitch,bitch,sexual orientation / gender,1.2,Mild,son-of-a-bitch
shittyful,shit,bodily fluids / excrement,1.6,Strong,shittyful
trasherbitchs,bitch,sexual orientation / gender,1.2,Mild,trasherbitchs
phvckings,fuck,sexual anatomy / sexual acts,2.2,Strong,phvckings
dirty sanchez,dirty sanchez,sexual anatomy / sexual acts,2.4,Strong,dirtysanchez
l@dyb0i,ladyboy,sexual orientation / gender,2.2,Strong,l@dyb0i
crow,crow,animal references,1.0,Mild,crow
nigguhs,nigger,racial / ethnic slurs,3.0,Severe,nigguhs
chingchong,chingchong,racial / ethnic slurs,2.8,Severe,chingchong
niggerz,nigger,racial / ethnic slurs,3.0,Severe,niggerz
bates,masturbate,sexual anatomy / sexual acts,1.0,Mild,bates
dumbass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,dumbassfucker
fucknuckle,fuck,sexual anatomy / sexual acts,2.4,Strong,fucknuckle
closet fuckhead,fuck,sexual orientation / gender,2.8,Severe,closetfuckhead
jiggyboo,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggyboo
fugger,fuck,sexual anatomy / sexual acts,2.0,Strong,fugger
shitsdick,shit,sexual anatomy / sexual acts,1.8,Strong,shitsdick
shemales,shemale,sexual orientation / gender,1.8,Strong,shemales
69,69,sexual anatomy / sexual acts,1.0,Mild,69
fxcked,fuck,sexual anatomy / sexual acts,2.0,Strong,fxcked
fvcker,fuck,sexual anatomy / sexual acts,2.4,Strong,fvcker
bitched,bitch,sexual orientation / gender,1.2,Mild,bitched
knobjocky,knob,sexual anatomy / sexual acts,2.2,Strong,knobjocky
feck,fuck,sexual anatomy / sexual acts,1.6,Strong,feck
shit fuck,fuck,other / general insult,2.4,Strong,shitfuck
erectoplasm,erectoplasm,bodily fluids / excrement,1.8,Strong,erectoplasm
retardotron,retard,mental disability,1.8,Strong,retardotron
l3itch,bitch,sexual orientation / gender,1.4,Mild,l3itch
nigg@hs,nigger,racial / ethnic slurs,2.8,Severe,nigg@hs
pigfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,pigfucker
assfker,ass,sexual anatomy / sexual acts,2.2,Strong,assfker
assfuccer,ass,sexual anatomy / sexual acts,2.2,Strong,assfuccer
3jakulating,ejaculation,sexual anatomy / sexual acts,1.6,Strong,3jakulating
pissoffs,piss,bodily fluids / excrement,1.4,Mild,pissoffs
fkings,fuck,sexual anatomy / sexual acts,1.8,Strong,fkings
cocksuk,cock,sexual anatomy / sexual acts,2.0,Strong,cocksuk
jizzsacks,jizz,sexual anatomy / sexual acts,1.8,Strong,jizzsacks
n1ckker,nigger,racial / ethnic slurs,2.8,Severe,n1ckker
f@gshit,shit,sexual orientation / gender,2.8,Severe,f@gshit
cagone,cojones,bodily fluids / excrement,1.2,Mild,cagone
kitty puncher,kitty puncher,sexual anatomy / sexual acts,2.2,Strong,kittypuncher
goddammit,damn,religious offense,1.0,Mild,goddammit
w4nk3r,wank,sexual anatomy / sexual acts,1.6,Strong,w4nk3r
cocksuckers,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuckers
trashbitchez,bitch,sexual orientation / gender,1.2,Mild,trashbitchez
fucking retard,fuck,sexual anatomy / sexual acts,3.0,Severe,fuckingretard
5h17,shit,bodily fluids / excrement,1.0,Mild,5h17
wang,wang,sexual anatomy / sexual acts,1.4,Mild,wang
arse-bandit,arse,sexual orientation / gender,2.0,Strong,arse-bandit
knobender,knob,sexual anatomy / sexual acts,2.2,Strong,knobender
bitching,bitch,sexual orientation / gender,1.0,Mild,bitching
assfukker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfukker
packingfudgefucking,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packingfudgefucking
dothead,dothead,racial / ethnic slurs,2.6,Severe,dothead
knobendz,knob,sexual anatomy / sexual acts,1.4,Mild,knobendz
shithead,shit,bodily fluids / excrement,1.8,Strong,shithead
jiggs,jiggaboo,racial / ethnic slurs,2.6,Severe,jiggs
shet,shit,bodily fluids / excrement,1.0,Mild,shet
nigg@,nigger,racial / ethnic slurs,2.8,Severe,nigg@
d1ckheads,dick,sexual anatomy / sexual acts,1.8,Strong,d1ckheads
doggo style,doggy style,sexual anatomy / sexual acts,1.2,Mild,doggostyle
mof0s,motherfucker,other / general insult,2.6,Severe,mof0s
fuck goblin,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckgoblin
fvck,fuck,sexual anatomy / sexual acts,1.8,Strong,fvck
bitchslap,bitch,sexual orientation / gender,1.0,Mild,bitchslap
fuck y0u,fuck,sexual anatomy / sexual acts,2.4,Strong,fucky0u
arse-bandits,arse,sexual anatomy / sexual acts,2.2,Strong,arse-bandits
anal hore,anal,sexual anatomy / sexual acts,2.4,Strong,analhore
cockhead,cock,sexual anatomy / sexual acts,1.8,Strong,cockhead
skanky,skank,sexual orientation / gender,1.4,Mild,skanky
f'ed,fuck,sexual anatomy / sexual acts,1.8,Strong,f'ed
mother fuck you,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfuck
muthafukka,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafukka
fvckbunny,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckbunny
wanked,wank,sexual anatomy / sexual acts,1.2,Mild,wanked
motha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mothafucker
spicfuck,fuck,sexual anatomy / sexual acts,3.0,Severe,spicfuck
godd@amn,damn,religious offense,1.4,Mild,godd@amn
ass fucking boiolas,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuckingboiolas
cajones,cojones,sexual anatomy / sexual acts,1.0,Mild,cajones
jagoff,jack off,sexual anatomy / sexual acts,1.0,Mild,jagoff
sand nigger,nigger,racial / ethnic slurs,3.0,Severe,sandnigger
horse's asses,ass,sexual anatomy / sexual acts,1.4,Mild,horse'sasses
motherfuccas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuccas
arsewipe,arse,sexual anatomy / sexual acts,1.4,Mild,arsewipe
fuck head,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckhead
spic,spic,racial / ethnic slurs,3.0,Severe,spic
knobjokey,knob,sexual orientation / gender,2.6,Severe,knobjokey
negroes,negro,racial / ethnic slurs,2.6,Severe,negroes
w@nkers,wank,sexual anatomy / sexual acts,1.0,Mild,w@nkers
fucker off,fuck,sexual anatomy / sexual acts,2.0,Strong,fucker
wet back,wetback,racial / ethnic slurs,2.8,Severe,wetback
sh1td1ck,shit,bodily fluids / excrement,2.0,Strong,sh1td1ck
bum-driller,bum,sexual anatomy / sexual acts,2.8,Severe,bum-driller
dlcks,dick,sexual anatomy / sexual acts,1.0,Mild,dlcks
fucka,fuck,sexual anatomy / sexual acts,2.2,Strong,fucka
god damned,damn,religious offense,1.2,Mild,goddamned
n1ggah,nigger,racial / ethnic slurs,2.8,Severe,n1ggah
shitfudgefucker,fuck,bodily fluids / excrement,2.6,Severe,shitfudgefucker
slantard,retard,racial / ethnic slurs,2.8,Severe,slantard
ch1nk,chink,racial / ethnic slurs,3.0,Severe,ch1nk
nignog,nigger,racial / ethnic slurs,2.8,Severe,nignog
fking,fuck,sexual anatomy / sexual acts,2.2,Strong,fking
@ssfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,@ssfucker
phuku,fuck,sexual anatomy / sexual acts,2.2,Strong,phuku
d1ck,dick,sexual anatomy / sexual acts,1.0,Mild,d1ck
dickslapper,dick,sexual anatomy / sexual acts,1.8,Strong,dickslapper
fuckhead,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckhead
niglet,nigger,racial / ethnic slurs,3.0,Severe,niglet
knober,knob,sexual anatomy / sexual acts,1.0,Mild,knober
motherfucca,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfucca
motherfacking,motherfucker,sexual anatomy / sexual acts,2.4,Strong,motherfacking
spix,spic,racial / ethnic slurs,3.0,Severe,spix
suck off,suck,sexual anatomy / sexual acts,1.8,Strong,suck
bitchfuck,fuck,sexual anatomy / sexual acts,2.4,Strong,bitchfuck
shitassfuckface,fuck,sexual anatomy / sexual acts,2.8,Severe,shitassfuckface
fckin,fuck,sexual anatomy / sexual acts,2.0,Strong,fckin
f@ggot,faggot,sexual orientation / gender,3.0,Severe,f@ggot
mfs,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mfs
fuckahs,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckahs
cock sucking boiolas,cock,sexual anatomy / sexual acts,2.6,Severe,cocksuckingboiolas
pigfukker,fuck,sexual anatomy / sexual acts,2.8,Severe,pigfukker
tard asses,ass,sexual anatomy / sexual acts,3.0,Severe,tardasses
throater,throater,sexual anatomy / sexual acts,2.4,Strong,throater
bellend,bellend,sexual anatomy / sexual acts,1.2,Mild,bellend
mothafcking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafcking
mothafucced,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafucced
bullshite,shit,bodily fluids / excrement,1.0,Mild,bullshite
fux0r,fuck,sexual anatomy / sexual acts,2.0,Strong,fux0r
sl@nteye,slant eye,racial / ethnic slurs,3.0,Severe,sl@nteye
bugger,bugger,sexual anatomy / sexual acts,1.2,Mild,bugger
nuckas,nigger,racial / ethnic slurs,2.6,Severe,nuckas
nobjokeys,knob,sexual orientation / gender,1.8,Strong,nobjokeys
dickvag,dick,sexual anatomy / sexual acts,1.6,Strong,dickvag
towelheads,towelhead,racial / ethnic slurs,3.0,Severe,towelheads
assfuck3r,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuck3r
fucked,fuck,sexual anatomy / sexual acts,1.8,Strong,fucked
bitchez,bitch,sexual orientation / gender,1.4,Mild,bitchez
fuk1ng,fuck,sexual anatomy / sexual acts,2.2,Strong,fuk1ng
n3gro,negro,racial / ethnic slurs,2.4,Strong,n3gro
fag,faggot,sexual orientation / gender,2.8,Severe,fag
cumming,cum,bodily fluids / excrement,1.6,Strong,cumming
phuckings,fuck,sexual anatomy / sexual acts,2.4,Strong,phuckings
dipsh1t,shit,mental disability,1.6,Strong,dipsh1t
cockh3ad,cock,sexual anatomy / sexual acts,2.4,Strong,cockh3ad
dump a load,dump a load,bodily fluids / excrement,1.6,Strong,dumpload
bi+ch,bitch,sexual orientation / gender,1.4,Mild,bi+ch
butt-fucking-bandit,fuck,sexual anatomy / sexual acts,2.6,Severe,butt-fucking-bandit
snatch licker,snatch,sexual anatomy / sexual acts,2.8,Severe,snatchlicker
arseshit,arse,sexual anatomy / sexual acts,1.8,Strong,arseshit
w4nker,wank,sexual anatomy / sexual acts,1.0,Mild,w4nker
c00nies,coon,racial / ethnic slurs,2.6,Severe,c00nies
m0foes,motherfucker,other / general insult,2.2,Strong,m0foes
jizzing,jizz,bodily fluids / excrement,1.6,Strong,jizzing
slutty,slut,sexual orientation / gender,1.8,Strong,slutty
shitties,shit,bodily fluids / excrement,1.0,Mild,shitties
soab,bitch,other / general insult,1.6,Strong,soab
cuntlick,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntlick
willy-whacker,willy-whacker,sexual anatomy / sexual acts,1.8,Strong,willy-whacker
nigg4hs,nigger,racial / ethnic slurs,2.8,Severe,nigg4hs
cunnilingus,cunnilingus,sexual anatomy / sexual acts,2.0,Strong,cunnilingus
c0cksuccer,cock,sexual anatomy / sexual acts,2.0,Strong,c0cksuccer
mudderfuk,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mudderfuk
mothafucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucka
dogsh1t,shit,bodily fluids / excrement,1.2,Mild,dogsh1t
n1gguh,nigger,racial / ethnic slurs,2.8,Severe,n1gguh
shittings,shit,bodily fluids / excrement,1.2,Mild,shittings
pedo,pedophile,sexual anatomy / sexual acts,2.2,Strong,pedo
asses,ass,sexual anatomy / sexual acts,1.0,Mild,asses
knob-gobbler,knob,sexual anatomy / sexual acts,1.6,Strong,knob-gobbler
nobhead,knob,sexual anatomy / sexual acts,1.6,Strong,nobhead
jigaboo,jiggaboo,racial / ethnic slurs,2.4,Strong,jigaboo
b1otch,bitch,sexual orientation / gender,1.4,Mild,b1otch
shitfk,shit,sexual anatomy / sexual acts,1.8,Strong,shitfk
wigger,nigger,racial / ethnic slurs,2.6,Severe,wigger
azz,ass,sexual anatomy / sexual acts,1.0,Mild,azz
mothfck,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothfck
dlck,dick,sexual anatomy / sexual acts,1.2,Mild,dlck
g@ylord,gay,sexual orientation / gender,1.8,Strong,g@ylord
cuntbollock,cunt,sexual anatomy / sexual acts,2.2,Strong,cuntbollock
she-male,shemale,sexual orientation / gender,2.8,Severe,she-male
fagg0t,faggot,sexual orientation / gender,3.0,Severe,fagg0t
trashbitch,bitch,sexual orientation / gender,2.0,Strong,trashbitch
choad nectar,choad,bodily fluids / excrement,2.0,Strong,choadnectar
fucktard,fuck,sexual anatomy / sexual acts,2.8,Severe,fucktard
dumbasses,ass,sexual anatomy / sexual acts,1.0,Mild,dumbasses
faggs,faggot,sexual orientation / gender,3.0,Severe,faggs
bitchhole,bitch,sexual anatomy / sexual acts,2.4,Strong,bitchhole
coot,coot,sexual anatomy / sexual acts,1.6,Strong,coot
pedophl,pedophile,sexual anatomy / sexual acts,2.2,Strong,pedophl
ass fuck,fuck,sexual anatomy / sexual acts,2.8,Severe,assfuck
ragtard,retard,racial / ethnic slurs,3.0,Severe,ragtard
pissoff,piss,bodily fluids / excrement,1.2,Mild,pissoff
bollocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,bollocks
phuking,fuck,sexual anatomy / sexual acts,2.2,Strong,phuking
shitsfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,shitsfuck
cyberfucs,fuck,sexual anatomy / sexual acts,2.0,Strong,cyberfucs
basterd,bastard,other / general insult,1.0,Mild,basterd
fuckfaces,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckfaces
bi + ch,bitch,sexual orientation / gender,1.2,Mild,bi+ch
higgers,nigger,racial / ethnic slurs,3.0,Severe,higgers
bishes,bitch,sexual orientation / gender,1.2,Mild,bishes
bender,bender,sexual orientation / gender,1.6,Strong,bender
ph@ggots,faggot,sexual orientation / gender,2.8,Severe,ph@ggots
niggaz,nigger,racial / ethnic slurs,2.2,Strong,niggaz
b00bz,boobs,sexual anatomy / sexual acts,1.0,Mild,b00bz
wetback,wetback,racial / ethnic slurs,3.0,Severe,wetback
motherfckin,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfckin
fuk,fuck,sexual anatomy / sexual acts,2.0,Strong,fuk
pillow biter,pillow biter,sexual anatomy / sexual acts,2.4,Strong,pillowbiter
fucs,fuck,sexual anatomy / sexual acts,2.4,Strong,fucs
motherfuckkers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckkers
motherfvcker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfvcker
dipshat,shit,bodily fluids / excrement,1.2,Mild,dipshat
sperm,sperm,bodily fluids / excrement,1.0,Mild,sperm
muff,muff,sexual anatomy / sexual acts,1.4,Mild,muff
k!k3,kike,racial / ethnic slurs,2.6,Severe,k!k3
motherfukkings,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfukkings
shitfvck,shit,sexual anatomy / sexual acts,2.2,Strong,shitfvck
nigger lover,nigger,racial / ethnic slurs,3.0,Severe,niggerlover
nip,nipple,sexual anatomy / sexual acts,2.0,Strong,nip
ja!lbait,jailbait,sexual anatomy / sexual acts,1.0,Mild,ja!lbait
phucking,fuck,sexual anatomy / sexual acts,2.4,Strong,phucking
b1tch1ng,bitch,sexual orientation / gender,1.2,Mild,b1tch1ng
dog shit,shit,bodily fluids / excrement,1.2,Mild,dogshit
s/h/i/t,shit,bodily fluids / excrement,1.0,Mild,s/h/i/t
butthole boy,butt,sexual anatomy / sexual acts,2.6,Severe,buttholeboy
dog's bollocks,bollocks,sexual anatomy / sexual acts,1.2,Mild,dog'sbollocks
motha fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucka
phaggot,faggot,sexual orientation / gender,2.8,Severe,phaggot
paki,paki,racial / ethnic slurs,2.6,Severe,paki
nigs,nigger,racial / ethnic slurs,2.8,Severe,nigs
assfook,ass,sexual anatomy / sexual acts,2.6,Severe,assfook
nikk3r,nigger,racial / ethnic slurs,3.0,Severe,nikk3r
c*nt,cunt,sexual anatomy / sexual acts,3.0,Severe,c*nt
pussy cat,pussy,sexual anatomy / sexual acts,1.4,Mild,pussycat
@55,ass,sexual anatomy / sexual acts,1.0,Mild,@55
suck my cock,cock,sexual anatomy / sexual acts,2.2,Strong,suckcock
suck,suck,sexual anatomy / sexual acts,1.0,Mild,suck
mufdivin,muff,sexual anatomy / sexual acts,2.8,Severe,mufdivin
asshole,ass,sexual anatomy / sexual acts,1.2,Mild,asshole
ladyboys,ladyboy,sexual orientation / gender,2.4,Strong,ladyboys
shites,shit,bodily fluids / excrement,1.0,Mild,shites
faggot nob jokeys,faggot,sexual anatomy / sexual acts,3.0,Severe,faggotnobjokeys
s_h_i_s,shit,bodily fluids / excrement,1.0,Mild,s_h_i_s
hoe,hoe,sexual orientation / gender,2.0,Strong,hoe
dickz,dick,sexual anatomy / sexual acts,1.2,Mild,dickz
mofuccers,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofuccers
shitti,shit,bodily fluids / excrement,1.0,Mild,shitti
nickas,nigger,racial / ethnic slurs,2.8,Severe,nickas
redskin,redskin,racial / ethnic slurs,2.2,Strong,redskin
mothafucked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafucked
jerkoff jerking off,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerkoffjerking
bull shit,shit,bodily fluids / excrement,1.0,Mild,bullshit
cawk,cock,sexual anatomy / sexual acts,1.4,Mild,cawk
boobs,boobs,sexual anatomy / sexual acts,1.0,Mild,boobs
tallywacker,tallywacker,sexual anatomy / sexual acts,1.2,Mild,tallywacker
cotton picker,cotton picker,racial / ethnic slurs,2.8,Severe,cottonpicker
upskirts,upskirt,sexual anatomy / sexual acts,1.4,Mild,upskirts
cockeater,cock,sexual anatomy / sexual acts,2.2,Strong,cockeater
knobes,knob,sexual anatomy / sexual acts,1.2,Mild,knobes
feck arse,arse,sexual anatomy / sexual acts,2.2,Strong,feckarse
knob jockey,knob,sexual anatomy / sexual acts,1.8,Strong,knobjockey
shitheadfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,shitheadfucker
arse-fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,arse-fucker
assfcker,ass,sexual anatomy / sexual acts,2.8,Severe,assfcker
rim job,rim job,sexual anatomy / sexual acts,2.0,Strong,rimjob
d!ck,dick,sexual anatomy / sexual acts,1.0,Mild,d!ck
asswipe,ass,sexual anatomy / sexual acts,1.6,Strong,asswipe
shittastic,shit,bodily fluids / excrement,1.2,Mild,shittastic
assface,ass,sexual anatomy / sexual acts,1.6,Strong,assface
cooties,cooties,other / general insult,1.0,Mild,cooties
faggoting,faggot,sexual orientation / gender,3.0,Severe,faggoting
mutherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mutherfuckers
penisfcker,penis,sexual anatomy / sexual acts,3.0,Severe,penisfcker
0rg@sm,orgasm,sexual anatomy / sexual acts,1.0,Mild,0rg@sm
pussy lick,pussy,sexual anatomy / sexual acts,2.4,Strong,pussylick
dickheads,dick,sexual anatomy / sexual acts,1.6,Strong,dickheads
jiggaboos,jiggaboo,racial / ethnic slurs,3.0,Severe,jiggaboos
twats,twat,sexual anatomy / sexual acts,1.6,Strong,twats
mothafuckeds,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuckeds
niggahz,nigger,racial / ethnic slurs,3.0,Severe,niggahz
swine fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,swinefucker
suck my dick,dick,sexual anatomy / sexual acts,2.2,Strong,suckdick
bullshit,shit,bodily fluids / excrement,1.2,Mild,bullshit
g@y b1tch,bitch,sexual orientation / gender,2.6,Severe,g@yb1tch
fuck faces,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckfaces
buttfuck,fuck,sexual anatomy / sexual acts,2.2,Strong,buttfuck
sum of a bitch,bitch,other / general insult,1.4,Mild,sumbitch
mothafuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckers
n0bhead,knob,sexual anatomy / sexual acts,1.6,Strong,n0bhead
dick-gobbler,dick,sexual anatomy / sexual acts,1.8,Strong,dick-gobbler
shit head,shit,bodily fluids / excrement,1.8,Strong,shithead
mof0es,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mof0es
sh1tdick,shit,sexual anatomy / sexual acts,2.4,Strong,sh1tdick
cockless,cock,sexual anatomy / sexual acts,1.4,Mild,cockless
fukwhore,fuck,sexual anatomy / sexual acts,2.8,Severe,fukwhore
cack,cock,bodily fluids / excrement,1.2,Mild,cack
b1tchy,bitch,sexual orientation / gender,1.2,Mild,b1tchy
cocksuka,cock,sexual anatomy / sexual acts,2.0,Strong,cocksuka
spics,spic,racial / ethnic slurs,2.8,Severe,spics
pedobear,pedophile,sexual orientation / gender,2.0,Strong,pedobear
douchebag,douche,sexual anatomy / sexual acts,1.4,Mild,douchebag
bater,masturbate,sexual anatomy / sexual acts,1.6,Strong,bater
cuunt,cunt,sexual anatomy / sexual acts,2.6,Severe,cuunt
analingus,anal,sexual anatomy / sexual acts,1.6,Strong,analingus
shitfuckmotherfucker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,shitfuckmotherfucker
carpetmunching,carpet muncher,sexual anatomy / sexual acts,1.6,Strong,carpetmunching
sh3mal3,shemale,sexual orientation / gender,2.6,Severe,sh3mal3
focker,fuck,sexual anatomy / sexual acts,2.0,Strong,focker
knob-head,knob,sexual anatomy / sexual acts,2.0,Strong,knob-head
kikes,kike,racial / ethnic slurs,3.0,Severe,kikes
shitterfucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitterfucker
gyp,gypsy,racial / ethnic slurs,2.0,Strong,gyp
knob3nd,knob,sexual anatomy / sexual acts,1.2,Mild,knob3nd
cockshit,cock,sexual anatomy / sexual acts,2.2,Strong,cockshit
bitchers,bitch,sexual orientation / gender,1.4,Mild,bitchers
cunt lips,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntlips
fuckk,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckk
shitfacefucker,fuck,sexual anatomy / sexual acts,2.6,Severe,shitfacefucker
ladyboy,ladyboy,sexual orientation / gender,2.2,Strong,ladyboy
dick licker,dick,sexual anatomy / sexual acts,2.4,Strong,dicklicker
piggyfuck,fuck,sexual anatomy / sexual acts,3.0,Severe,piggyfuck
towelshithead,towelhead,racial / ethnic slurs,2.6,Severe,towelshithead
packsomefudgefucker,fudge packer,sexual anatomy / sexual acts,2.4,Strong,packsomefudgefucker
c*nts,cunt,sexual orientation / gender,2.8,Severe,c*nts
arsefuck,fuck,sexual anatomy / sexual acts,2.8,Severe,arsefuck
b to the inch,bitch,sexual orientation / gender,1.2,Mild,binch
jackoff,jack off,sexual anatomy / sexual acts,2.0,Strong,jackoff
dickfucker,dick,sexual anatomy / sexual acts,2.8,Severe,dickfucker
sh1s,shit,bodily fluids / excrement,1.0,Mild,sh1s
mothaf@cked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothaf@cked
dumb bastard,bastard,other / general insult,1.2,Mild,dumbbastard
fag asses,faggot,sexual orientation / gender,2.8,Severe,fagasses
transvestite,transvestite,sexual orientation / gender,2.4,Strong,transvestite
Fckk,fuck,sexual anatomy / sexual acts,2.2,Strong,Fckk
bitchasses,bitch,sexual anatomy / sexual acts,1.8,Strong,bitchasses
dickmuncher,dick,sexual anatomy / sexual acts,2.0,Strong,dickmuncher
kike,kike,racial / ethnic slurs,3.0,Severe,kike
fucked up,fuck,sexual anatomy / sexual acts,2.2,Strong,fucked
horseshit,shit,bodily fluids / excrement,1.2,Mild,horseshit
rectum,rectum,sexual anatomy / sexual acts,1.0,Mild,rectum
fccuker,fuck,sexual anatomy / sexual acts,2.0,Strong,fccuker
nuggets,nigger,racial / ethnic slurs,1.2,Mild,nuggets
bangbros,bang,sexual anatomy / sexual acts,1.6,Strong,bangbros
sambo,sambo,racial / ethnic slurs,2.2,Strong,sambo
niggazzes,nigger,racial / ethnic slurs,2.8,Severe,niggazzes
shiesterfuckface,fuck,sexual anatomy / sexual acts,2.8,Severe,shiesterfuckface
shitbrain,shit,bodily fluids / excrement,2.0,Strong,shitbrain
jackarse,arse,sexual anatomy / sexual acts,1.0,Mild,jackarse
dick face,dick,sexual anatomy / sexual acts,1.8,Strong,dickface
mothafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafucker
fagshit,faggot,bodily fluids / excrement,3.0,Severe,fagshit
nigre,nigger,racial / ethnic slurs,3.0,Severe,nigre
dumasses,ass,sexual anatomy / sexual acts,1.0,Mild,dumasses
phuccing,fuck,sexual anatomy / sexual acts,1.8,Strong,phuccing
niggass,nigger,racial / ethnic slurs,2.6,Severe,niggass
suck my d,dick,sexual anatomy / sexual acts,1.8,Strong,suck
fart-fucker,fuck,sexual anatomy / sexual acts,2.2,Strong,fart-fucker
nigg3rs,nigger,racial / ethnic slurs,3.0,Severe,nigg3rs
dipsh1tty,shit,bodily fluids / excrement,1.6,Strong,dipsh1tty
stfu,fuck,sexual anatomy / sexual acts,1.8,Strong,stfu
motherfuckins,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckins
m0therfucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,m0therfucker
dick fucker,fuck,sexual anatomy / sexual acts,2.8,Severe,dickfucker
muthafuckker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckker
dumbass mofoes,ass,sexual anatomy / sexual acts,2.4,Strong,dumbassmofoes
fvckers,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckers
dick-face,dick,sexual anatomy / sexual acts,1.8,Strong,dick-face
